연번,날짜,시간,구분,문자전송내용
11,2025-01-10,08:10,기상특보,"1100로, 5.16로 도로통제(폭설)로 인해 노선버스 우회 운행 중이오니 제주버스정보시스템 확인바랍니다. [제주특별자치도]"
12,2025-01-11,19:34,기상특보,"대설로 인해 1100도로 대소형 통제 / 516도로 대소형체인. 다른 도로로 우회 또는 대중교통 이용하시기 바라며, 제주경찰청 도로통제상황 확인바랍니다.[제주도]"
13,2025-01-11,22:47,지진,"금일 22시35분 제주시 서쪽 63km 해역 규모 2.2 지진 발생. 추가 지진 발생할 수 있으니, 추가 지진 발생에 유의해 주시기 바랍니다.[제주도]"
14,2025-01-11,22:57,지진,"오늘 지진은 먼 바다에서 발생한 지진으로 피해는 없을 것으로 예상되나, 추가 지진 발생에 유의하여 주시기 바랍니다.[제주도]"
15,2025-01-12,11:06,교통,"1100고지 휴게소 인근 교통혼잡으로 인해 통제중 이오니, 다른 도로로 우회 또는 대중교통 이용바랍니다.[제주도]"
16,2025-01-25,10:00,사회재난,"설 연휴 문 여는 병원·약국은 도·보건소·응급의료포털 홈페이지, 119구급상황관리센터, 120콜센터 등에서 확인바랍니다.[제주도]"
17,2025-01-25,16:00,사회재난,응급실은 위급환자 등 중증도에 따라 우선 진료되오니 가급적 경증인 경우 가까운 동네병원(호흡기환자는 발열클리닉)을 이용바랍니다.[제주도]
18,2025-01-26,10:00,사회재난,"설 연휴 문 여는 병원·약국은 도·보건소·응급의료포털 홈페이지, 119구급상황관리센터, 120콜센터 등에서 확인바랍니다.[제주도]"
19,2025-01-26,16:00,사회재난,응급실은 위급환자 등 중증도에 따라 우선 진료되오니 가급적 경증인 경우 가까운 동네병원(호흡기환자는 발열클리닉)을 이용바랍니다.[제주도]
20,2025-01-27,07:00,기상특보,"대설로 인해 1100도로 대소형 통제 / 516도로 소형체인. 다른 도로로 우회 또는 대중교통 이용하시기 바라며, 제주경찰청 도로통제상황 확인바랍니다.[제주도]"
21,2025-01-27,07:17,기상특보,"1100로 도로통제(폭설)로 인해 노선버스 우회 운행 중이오니, 제주버스정보시스템 확인바랍니다. [제주특별자치도]"
22,2025-01-27,08:56,기상특보,"대설로 인해 1100로, 516로, 제1산록도로 대소형통제 / 노선버스 우회 또는 결행 중, 눈꽃버스는 운행중단, 제주버스정보시스템 확인바랍니다. [제주도]"
23,2025-01-27,10:00,사회재난,"설 연휴 문 여는 병원·약국은 도·보건소·응급의료포털 홈페이지, 119구급상황관리센터, 120콜센터 등에서 확인바랍니다.[제주도]"
24,2025-01-27,16:00,사회재난,응급실은 위급환자 등 중증도에 따라 우선 진료되오니 가급적 경증인 경우 가까운 동네병원(호흡기환자는 발열클리닉)을 이용바랍니다.[제주도]
25,2025-01-28,07:13,기상특보,"대설로 인해 1100로, 516로, 비자림로 대소형통제 / 노선버스 우회 또는 결행 중, 눈꽃버스는 운행중단, 제주버스정보시스템 확인바랍니다. [제주도]"
26,2025-01-28,10:00,사회재난,"설 연휴 문 여는 병원·약국은 도·보건소·응급의료포털 홈페이지, 119구급상황관리센터, 120콜센터 등에서 확인바랍니다.[제주도]"
27,2025-01-28,16:00,사회재난,응급실은 위급환자 등 중증도에 따라 우선 진료되오니 가급적 경증인 경우 가까운 동네병원(호흡기환자는 발열클리닉)을 이용바랍니다.[제주도]
28,2025-01-29,06:31,기상특보,"대설로 인해 1100로, 516로, 비자림로 대소형통제 / 노선버스 우회 또는 결행 중, 눈꽃버스는 운행중단, 제주버스정보시스템 확인바랍니다. [제주도]"
29,2025-01-29,07:29,기상특보," 1100도로,516도로(양지공원까지 운행가능),비자림로 대소형 통제/제1,2산록도로 대소형 체인. 다른 도로로 우회 또는 대중교통 이용하시기 바랍니다.[제주도]"
30,2025-01-29,10:00,사회재난,"설 연휴 문 여는 병원·약국은 도·보건소·응급의료포털 홈페이지, 119구급상황관리센터, 120콜센터 등에서 확인바랍니다.[제주도]"
31,2025-01-29,16:00,사회재난,응급실은 위급환자 등 중증도에 따라 우선 진료되오니 가급적 경증인 경우 가까운 동네병원(호흡기환자는 발열클리닉)을 이용바랍니다.[제주도]
32,2025-01-30,10:00,사회재난,"설 연휴 문 여는 병원·약국은 도·보건소·응급의료포털 홈페이지, 119구급상황관리센터, 120콜센터 등에서 확인바랍니다.[제주도]"
33,2025-01-30,16:00,사회재난,응급실은 위급환자 등 중증도에 따라 우선 진료되오니 가급적 경증인 경우 가까운 동네병원(호흡기환자는 발열클리닉)을 이용바랍니다.[제주도]
34,2025-02-04,06:08,기상특보,"대설로 인해 1100로, 516로 교통통제로 노선버스 우회 운행 중, 우회 노선은 제주버스정보시스템 확인바랍니다. [제주특별자치도]"
35,2025-02-05,06:06,기상특보,"대설로 인해 1100로, 516로 교통통제 / 눈꽃버스는 운행중단, 노선버스 우회 운행 중, 우회 노선은 제주버스정보시스템 확인바랍니다. [제주특별자치도]"
36,2025-02-05,18:40,기상특보,"대설로 인해 1100도로, 516도로 교통통제로 노선버스 우회 운행 중, 우회 노선은 제주버스정보시스템 확인바랍니다. [제주특별자치도]"
37,2025-02-06,06:08,기상특보,"1100로, 516로, 비자림로, 제1,2 산록도로 교통통제/눈꽃버스는 운행중단, 노선버스 우회 운행 중, 우회 노선은 제주버스정보시스템 확인바랍니다.[제주도]"
38,2025-02-07,06:11,기상특보,"대설로 인해 1100도로, 516도로 교통통제, 비자림로,명림로,첨단로 대소형체인 / 노선버스 우회운행 중, 우회 노선은 제주버스정보시스템 확인바랍니다.[제주도]"
39,2025-02-08,06:26,기상특보,"대설로 1100도로,516도로,2산록도로 통제, 주요도로 대소형체인(제주경찰청 교통통제상황 확인), 노선버스 우회운행 중 제주버스정보시스템 확인바랍니다.[제주도]"
40,2025-02-09,06:10,기상특보,"대설로 인해 1100로, 5.16로 교통통제 / 눈꽃버스는 운행중단, 노선버스 우회 운행중, 우회노선은 제주버스정보시스템 확인바랍니다.[제주도]"
41,2025-02-09,12:08,기상특보,"이면도로, 인도 음지지역, 비탈지역 등은 빙판길이 예상되오니 낙상사고가 없도록 보행안전에 유의 바랍니다. [제주도]"
42,2025-02-10,06:03,기상특보,"대설로 인해 1100로, 5.16로 교통통제 / 눈꽃버스는 운행중단, 노선버스 우회 운행중, 우회노선은 제주버스정보시스템 확인바랍니다.[제주도]"
43,2025-02-10,07:05,기상특보,"대설로 인해 1100로 교통통제 / 눈꽃버스는 운행중단, 노선버스 우회 운행중, 우회노선은 제주버스정보시스템 확인바랍니다.[제주도]"
44,2025-02-24,06:51,기상특보,"1100도로 대소형 통제/제1산록도로 대소형체인/제2산록도로 소형체인. 안전운행 및 대중교통 이용바라며, 제주경찰청 도로통제상황 확인바랍니다.[제주도]"
45,2025-03-16,21:35,기상특보,"제주도 전지역에 강풍특보 발효 중 간판 등 부착물 고정, 비닐하우스 등 시설물 피해주의, 해안가 접근금지 등 안전에 유의 바랍니다.[제주도]"
46,2025-03-18,06:50,기상특보,"1100도로, 516도로 대소형 통제/명림로 대소형 체인. 다른 도로로 우회 또는 대중교통 이용하시기 바라며, 제주경찰청 도로통제상황 확인바랍니다.[제주도]"
47,2025-03-23,12:46,산불,"건조한 날씨로 산불등 화재발생 위험이 높습니다. 입산시 흡연, 화기소지 및 쓰레기, 영농부산물 소각을 금지하여 주시고 적발시 과태료가 부과될수 있습니다.[제주도]"
48,2025-03-24,18:09,화재발생,현재 제주시 화북이동소재 창고 화재로 인한 다량의 연기발생으로 인근 주민 및 차량 등은 우회 및 주의하시기 바랍니다. [제주특별자치도]
49,2025-03-24,18:53,화재발생,현재 제주시 화북동 소재 연북로 인근 창고 화재로 인한 다량의 연기 발생으로 인근 주민 및 차량 등은 우회 및 주의하시기 바랍니다. [제주특별자치도]
50,2025-03-25,10:00,산불,"건조한 날씨가 계속되어 산불발생 위험이 높습니다. 입산시 흡연, 화기소지 및 쓰레기, 영농부산물 소각을 금지하여 주시고 적발시 과태료가 부과될수 있습니다[제주도]"
51,2025-03-26,14:48,산불,"건조한 날씨가 계속되어 산불발생 위험이 높습니다. 입산시 흡연, 화기소지 및 쓰레기, 영농부산물 소각을 금지하여 주시고 적발시 과태료가 부과될수 있습니다[제주도]"
52,2025-04-02,13:00,산불,"건조한 날씨가 계속되어 산불발생 위험이 높습니다. 입산시 흡연, 화기소지 및 쓰레기, 영농부산물 소각을 금지하여 주시고 적발시 과태료가 부과될수 있습니다[제주도]"
53,2025-04-07,10:30,산불,"건조한 날씨가 계속되어 산불발생 위험이 높습니다. 입산시 흡연, 화기소지 및 쓰레기, 영농부산물 소각을 금지하여 주시고 적발시 과태료가 부과될수 있습니다[제주도]"
54,2025-04-07,15:50,산불,건조특보가 발효중에 있어 산불위험이 매우 높습니다▲실수로 산불발생시에도 3년이하 징역▲입산시 흡연 및 화기 소지 금지▲소각행위를 금지하여 주시기 바랍니다[제주도]
55,2025-04-08,11:02,산불,건조특보가 발효중에 있어 산불위험이 매우 높습니다▲실수로 산불발생시에도 3년이하 징역▲입산시 흡연 및 화기 소지 금지▲소각행위를 금지하여 주시기 바랍니다[제주도]
